region_name,adults_in_household,children_in_household,country,household_equivalisation_ahc,household_equivalisation_bhc,household_id,household_weight,in_poverty_ahc,in_poverty_bhc,people_in_household,region,seniors_in_household,working_age_adults_in_household,council_tax,housing_costs,housing_type,is_rented,is_shared,is_social,mortgage,num_rooms,rent,weekly_rent,equiv_household_net_income,equiv_household_net_income_ahc,household_earnings,household_income,household_net_income,household_net_income_ahc
EAST_MIDLANDS,1.765163297045101,0.526438569206843,0,0.9453344,0.97507775,1097335.4587869362,1556.1843,0.18818040435458788,0.1656298600311042,2.291601866251944,3.0,0.504665629860031,1.2674961119751167,1407.4058,60.281494,1,0.0,0.00933125972006221,0.18118195956454122,0.0,5.619751166407465,36.85148,0.0,31928.662,30272.775,26490.725,35606.78,30872.072,27895.193
EAST_OF_ENGLAND,1.7635009310986964,0.48541278708876473,0,0.9344134,0.9647486,1096434.2396027313,1599.6772,0.1707014276846679,0.13531967721911856,2.248913718187461,5.0,0.5462445685909373,1.2271880819366854,1554.0565,75.962135,1,0.0,0.004965859714463066,0.16263190564866542,0.0,5.540657976412167,43.46431,0.0,35538.26,33189.83,31410.242,41600.863,33826.293,29950.45
LONDON,1.8800773694390716,0.6750483558994197,0,0.9417408,0.9776015,1095200.4706640877,2268.6707,0.2940038684719536,0.1760154738878143,2.5551257253384914,6.0,0.34945196647324306,1.5499677627337203,1599.5667,154.00064,1,0.0,0.014184397163120567,0.256608639587363,0.0,4.6421663442940035,115.067696,0.0,42157.566,36858.832,44744.92,51136.58,39761.29,32384.08
NORTHERN_IRELAND,1.7020327218641547,0.5532969757064948,0,0.92805153,0.96223104,1097263.113534953,363.69708,0.14724838869608328,0.14377788795240456,2.2553296975706494,11.0,0.4521566683192861,1.270699058006941,0.0,43.78086,1,0.0,0.005949429846306396,0.16410510659395142,0.0,5.918691125433813,31.010412,0.0,30755.31,29987.805,22867.264,29699.078,29147.225,26905.486
NORTH_EAST,1.6717948717948719,0.5128205128205128,0,0.904359,0.94128203,1093567.858974359,1489.4166,0.21794871794871795,0.18205128205128204,2.1846153846153844,0.0,0.4756410256410256,1.2076923076923076,1273.2363,59.735897,1,0.0,0.005128205128205128,0.24871794871794872,0.0,5.346153846153846,37.964104,0.0,29460.418,27745.44,21515.45,29318.33,27325.95,24316.81
NORTH_WEST,1.6925091671031953,0.5385018334206391,0,0.9135883,0.9502672,1095986.3069669984,1635.5935,0.2079622839182818,0.18386589837611314,2.2310110005238344,1.0,0.47407019381875326,1.2331063383970666,1340.984,63.137245,1,0.0,0.0041906757464641176,0.2006286013619696,0.0,5.395495023572551,38.434258,0.0,30552.438,28828.814,24508.559,31734.107,28469.77,25282.445
SCOTLAND,1.6787729196050776,0.40796897038081803,0,0.891622,0.929323,1094966.7559943583,876.8865,0.18688293370944992,0.1755994358251058,2.0867418899858956,10.0,0.4883638928067701,1.189703808180536,1600.9426,53.461567,1,0.0,0.007404795486600846,0.2306064880112835,0.0,5.034555712270804,33.046192,0.0,31276.686,30055.277,25453.404,33933.355,29080.812,26405.24
SOUTH_EAST,1.763107721639657,0.5033365109628217,0,0.94613916,0.97402287,1094484.4899904672,1797.6587,0.17397521448999045,0.13536701620591038,2.2664442326024785,7.0,0.5505243088655862,1.2240228789323164,1694.9972,89.0,1,0.0,0.0109628217349857,0.1363203050524309,0.0,5.628693994280267,49.920876,0.0,43132.926,40386.17,45985.58,57469.062,42014.023,37785.293
SOUTH_WEST,1.7207272727272727,0.49454545454545457,0,0.9377018,0.96800727,1095066.778181818,1744.5796,0.192,0.16363636363636364,2.215272727272727,8.0,0.5796363636363636,1.1578181818181819,1558.6366,65.583275,1,0.0,0.002909090909090909,0.13090909090909092,0.0,5.664727272727273,36.21091,0.0,32785.223,30989.615,25126.078,36700.9,31105.578,27809.482
WALES,1.683649289099526,0.4585308056872038,0,0.9036493,0.9394787,1095105.2369668246,1606.9502,0.22985781990521326,0.2156398104265403,2.1421800947867298,9.0,0.5367298578199052,1.1540284360189574,1572.1465,54.57583,1,0.0,0.001184834123222749,0.17535545023696683,0.0,5.643364928909953,32.27014,0.0,28825.162,27348.293,21311.115,29657.297,26914.25,24150.545
WEST_MIDLANDS,1.7355734112490868,0.5317750182615048,0,0.93456537,0.96671295,1097561.512052593,1749.6465,0.20233747260774287,0.17677136596055515,2.2673484295105917,4.0,0.5164353542731921,1.2286340394448503,1382.8177,63.135136,1,0.0,0.005113221329437546,0.21621621621621623,0.0,5.463111760409058,38.550766,0.0,30203.88,28323.164,24437.973,32292.857,28691.74,25474.195
YORKSHIRE,1.754855994641661,0.5298057602143336,0,0.9290824,0.96308106,1097157.2270596116,1544.1454,0.2203616878767582,0.1841929002009377,2.2846617548559944,2.0,0.45411922304085733,1.3101138647019424,1330.2716,63.41862,1,0.0,0.011386470194239785,0.19758874748827862,0.0,5.363027461486939,40.411922,0.0,31081.482,29222.797,26824.75,34672.07,30026.516,26981.29
