region_name,adults_in_household,children_in_household,country,household_equivalisation_ahc,household_equivalisation_bhc,household_id,household_weight,in_poverty_ahc,in_poverty_bhc,people_in_household,region,seniors_in_household,working_age_adults_in_household,council_tax,housing_costs,housing_type,is_rented,is_shared,is_social,mortgage,num_rooms,rent,weekly_rent,equiv_household_net_income,equiv_household_net_income_ahc,household_earnings,household_income,household_net_income,household_net_income_ahc,household_basic_income
EAST_MIDLANDS,1.765163297045101,0.526438569206843,0,0.9453344,0.97507775,1097335.4587869362,1556.1843,0.09020217729393468,0.09797822706065319,2.291601866251944,3.0,0.5015552099533437,1.2674961119751167,1407.4058,60.281494,1,0.0,0.00933125972006221,0.18118195956454122,0.0,5.619751166407465,36.85148,0.0,31475.969,29537.203,26490.725,31881.984,31016.275,27902.057,281.4347
EAST_OF_ENGLAND,1.7635009310986964,0.48541278708876473,0,0.9344134,0.9647486,1096434.2396027313,1599.6772,0.09248913718187461,0.0856610800744879,2.248913718187461,5.0,0.5437616387337058,1.2271880819366854,1554.0565,75.962135,1,0.0,0.004965859714463066,0.16263190564866542,0.0,5.540657976412167,43.46431,0.0,34265.848,31697.924,31410.242,37668.24,33325.742,29397.37,279.03476
LONDON,1.8800773694390716,0.6750483558994197,0,0.9417408,0.9776015,1095200.4706640877,2268.6707,0.16827852998065765,0.11089619600257898,2.5551257253384914,6.0,0.3488072211476467,1.5499677627337203,1599.5667,154.00064,1,0.0,0.014184397163120567,0.256608639587363,0.0,4.6421663442940035,115.067696,0.0,41817.69,35981.836,44744.92,48651.914,40440.273,32769.07,298.47678
NORTHERN_IRELAND,1.7020327218641547,0.5532969757064948,0,0.92805153,0.96223104,1097263.113534953,363.69708,0.05057015369360436,0.06147744174516609,2.2553296975706494,11.0,0.4496777392166584,1.270699058006941,0.0,43.78086,1,0.0,0.005949429846306396,0.16410510659395142,0.0,5.918691125433813,31.010412,0.0,31586.36,30767.943,22867.264,26461.719,30543.742,28272.049,277.49753
NORTH_EAST,1.6717948717948719,0.5128205128205128,0,0.904359,0.94128203,1093567.858974359,1489.4166,0.12051282051282051,0.1064102564102564,2.1846153846153844,0.0,0.4717948717948718,1.2076923076923076,1273.2363,59.735897,1,0.0,0.005128205128205128,0.24871794871794872,0.0,5.346153846153846,37.964104,0.0,29604.121,27737.312,21515.45,25803.982,28021.39,24925.527,267.13943
NORTH_WEST,1.6925091671031953,0.5385018334206391,0,0.9135883,0.9502672,1095986.3069669984,1635.5935,0.11262441068622316,0.10790990047145102,2.2310110005238344,1.0,0.47249869041382925,1.2331063383970666,1340.984,63.137245,1,0.0,0.0041906757464641176,0.2006286013619696,0.0,5.395495023572551,38.434258,0.0,30473.033,28565.438,24508.559,28213.482,29011.6,25743.836,272.7017
SCOTLAND,1.6787729196050776,0.40796897038081803,0,0.891622,0.929323,1094966.7559943583,876.8865,0.11036671368124118,0.11918194640338504,2.0867418899858956,10.0,0.4869534555712271,1.189703808180536,1600.9426,53.461567,1,0.0,0.007404795486600846,0.2306064880112835,0.0,5.034555712270804,33.046192,0.0,30674.469,29225.07,25453.404,30319.781,29005.951,26234.758,258.82846
SOUTH_EAST,1.763107721639657,0.5033365109628217,0,0.94613916,0.97402287,1094484.4899904672,1797.6587,0.111534795042898,0.08674928503336511,2.2664442326024785,7.0,0.5486177311725453,1.2240228789323164,1694.9972,89.0,1,0.0,0.0109628217349857,0.1363203050524309,0.0,5.628693994280267,49.920876,0.0,41343.18,38227.13,45985.58,53368.445,41031.258,36659.164,281.11
SOUTH_WEST,1.7207272727272727,0.49454545454545457,0,0.9377018,0.96800727,1095066.778181818,1744.5796,0.10909090909090909,0.10763636363636364,2.215272727272727,8.0,0.576,1.1578181818181819,1558.6366,65.583275,1,0.0,0.002909090909090909,0.13090909090909092,0.0,5.664727272727273,36.21091,0.0,31577.922,29549.992,25126.078,32359.854,30712.123,27364.895,277.67728
WALES,1.683649289099526,0.4585308056872038,0,0.9036493,0.9394787,1095105.2369668246,1606.9502,0.1338862559241706,0.12440758293838862,2.1421800947867298,9.0,0.5367298578199052,1.1540284360189574,1572.1465,54.57583,1,0.0,0.001184834123222749,0.17535545023696683,0.0,5.643364928909953,32.27014,0.0,29208.492,27613.242,21311.115,25850.395,27746.818,24917.23,267.52814
WEST_MIDLANDS,1.7355734112490868,0.5317750182615048,0,0.93456537,0.96671295,1097561.512052593,1749.6465,0.10226442658875091,0.09788166544923302,2.2673484295105917,4.0,0.5113221329437546,1.2286340394448503,1382.8177,63.135136,1,0.0,0.005113221329437546,0.21621621621621623,0.0,5.463111760409058,38.550766,0.0,30297.564,28274.92,24437.973,28522.756,29455.791,26183.53,278.69797
YORKSHIRE,1.754855994641661,0.5298057602143336,0,0.9290824,0.96308106,1097157.2270596116,1544.1454,0.11051574012056263,0.10247823174815807,2.2846617548559944,2.0,0.45277963831212326,1.3101138647019424,1330.2716,63.41862,1,0.0,0.011386470194239785,0.19758874748827862,0.0,5.363027461486939,40.411922,0.0,31349.045,29118.805,26824.75,31327.723,30803.047,27530.389,277.4322
